go_id,term,glds7_root_fdr,study,external_up_genes,term_size,overlap,p,genes,fdr,replicated
GO:0010200,response to chitin,1.3208878374946101e-18,GLDS-37,1574,121,46,1.1203892690283935e-22,"AT1G08930,AT1G20823,AT1G34180,AT1G42990,AT1G51700,AT1G64380,AT2G13790,AT2G18060,AT2G23320,AT2G26150,AT2G35930,AT2G38470,AT2G40140,AT3G11840,AT3G19580,AT3G21630,AT3G28210,AT3G45640,AT3G46600,AT3G49530,AT3G50060,AT3G50260,AT3G55980,AT4G11660,AT4G17230,AT4G17490,AT4G18880,AT4G23810,AT4G26120,AT4G28140,AT4G31800,AT4G33050,AT4G35480,AT5G04340,AT5G09800,AT5G27420,AT5G46910,AT5G47230,AT5G48655,AT5G58610,AT5G59450,AT5G59550,AT5G62020,AT5G64660,AT5G66070,AT5G67300",6.7223356141703614e-21,True
GO:0009409,response to cold,7.080917929743689e-05,GLDS-37,1574,291,54,3.1388094098149664e-11,"AT1G01120,AT1G02270,AT1G20440,AT1G20450,AT1G20620,AT1G22190,AT1G22770,AT1G56600,AT1G69270,AT1G77120,AT1G78080,AT1G80820,AT2G16500,AT2G17840,AT2G18790,AT2G30250,AT2G37770,AT2G38470,AT2G40140,AT2G46830,AT2G47180,AT2G47730,AT3G08720,AT3G11410,AT3G14210,AT3G22370,AT3G25760,AT3G45640,AT3G50260,AT3G50970,AT4G02380,AT4G03430,AT4G04020,AT4G08500,AT4G13850,AT4G24960,AT4G26080,AT4G34150,AT5G01600,AT5G06760,AT5G16910,AT5G20720,AT5G20830,AT5G37500,AT5G47230,AT5G52300,AT5G52310,AT5G54470,AT5G58070,AT5G58670,AT5G61030,AT5G63320,AT5G63980,AT5G64220",9.416428229444898e-10,True
GO:0009611,response to wounding,4.9365824624908134e-14,GLDS-37,1574,180,32,8.512473334619365e-07,"AT1G01470,AT1G01720,AT1G19180,AT1G20510,AT1G32920,AT1G61340,AT1G71697,AT1G72520,AT1G72920,AT1G78080,AT2G02860,AT2G26690,AT2G30490,AT2G33150,AT2G46370,AT3G17860,AT3G25230,AT3G45640,AT3G48520,AT4G08500,AT4G21440,AT4G24220,AT4G39980,AT5G05730,AT5G06320,AT5G09810,AT5G10300,AT5G20230,AT5G20900,AT5G42650,AT5G47910,AT5G52310",1.702494666923873e-05,True
GO:0009751,response to salicylic acid,3.2033235841401056e-10,GLDS-37,1574,141,22,0.0003022435517124404,"AT1G18570,AT1G48000,AT1G61340,AT1G68320,AT1G79680,AT2G05520,AT2G40000,AT2G46410,AT2G46830,AT2G47190,AT3G11280,AT3G20470,AT3G50060,AT3G50410,AT4G02890,AT4G05320,AT4G23810,AT4G31800,AT4G39030,AT5G06320,AT5G62470,AT5G67300",0.004533653275686606,True
GO:0009409,response to cold,7.080917929743689e-05,GLDS-38,2100,291,44,0.000885751458164994,"AT1G01060,AT1G01860,AT1G09340,AT1G09780,AT1G23740,AT1G35680,AT1G42970,AT1G45474,AT1G53240,AT1G55490,AT1G62820,AT1G63940,AT1G70200,AT1G74710,AT2G26250,AT2G28900,AT2G33380,AT2G36530,AT2G38750,AT2G39460,AT2G39730,AT2G46090,AT3G02870,AT3G06510,AT3G11170,AT3G11630,AT3G12780,AT3G14210,AT3G17390,AT3G20930,AT3G22840,AT3G47520,AT4G09650,AT4G21150,AT4G24190,AT4G24280,AT4G31990,AT4G37510,AT4G37930,AT4G38840,AT5G15960,AT5G20630,AT5G51820,AT5G61410",0.00933103070212845,True
GO:0009617,response to bacterium,0.0005362447579475,GLDS-37,1574,96,16,0.000933103070212845,"AT1G18570,AT1G61340,AT1G72520,AT1G79680,AT3G12580,AT3G45640,AT3G50260,AT3G50930,AT3G53180,AT4G37990,AT4G39980,AT5G01600,AT5G02490,AT5G05730,AT5G06320,AT5G57890",0.00933103070212845,True
GO:0009873,ethylene-activated signaling pathway,9.213166993413651e-06,GLDS-44,1707,155,22,0.003097401867557927,"AT1G04310,AT1G05850,AT1G12630,AT1G15360,AT1G25560,AT1G44830,AT1G64380,AT1G77200,AT1G80580,AT2G20350,AT2G27050,AT2G36400,AT2G36450,AT2G41710,AT3G23230,AT3G24500,AT5G07580,AT5G25390,AT5G43410,AT5G44210,AT5G52020,AT5G67000",0.02654915886478223,True
GO:0045893,"positive regulation of transcription, DNA-templated",2.897483255474468e-05,GLDS-37,1574,181,23,0.0037925096977884007,"AT1G34180,AT1G56170,AT1G71930,AT2G22430,AT2G26150,AT2G46830,AT2G47190,AT3G11020,AT3G24500,AT3G50410,AT3G54620,AT3G61890,AT4G01550,AT4G18880,AT4G23810,AT4G27410,AT5G01270,AT5G04410,AT5G05410,AT5G20830,AT5G47230,AT5G47670,AT5G64220",0.028443822733413004,True
GO:0050832,defense response to fungus,5.847401603616752e-05,GLDS-37,1574,199,24,0.006109317108436506,"AT1G01470,AT1G10920,AT1G12200,AT1G20440,AT1G45145,AT1G56570,AT1G71930,AT2G31870,AT2G34930,AT2G38470,AT2G40140,AT2G46240,AT3G05360,AT3G11820,AT3G50970,AT3G52400,AT4G03550,AT4G23100,AT4G31800,AT5G20230,AT5G42650,AT5G46350,AT5G47910,AT5G67300",0.04072878072291004,True
GO:0010200,response to chitin,1.3208878374946101e-18,GLDS-17,491,121,7,0.016644887659878246,"AT1G51700,AT2G26150,AT2G38470,AT4G11660,AT4G31800,AT5G04340,AT5G48655",0.09986932595926948,False
