panel,locus,symbol,glds7_root_log2fc,glds7_root_fdr
GLDS-7 root defense-regulatory,AT2G35930,PUB23,1.49998435088679,0.000804529820196
GLDS-7 root defense-regulatory,AT5G59820,ZAT12/RHL41,1.85659687235532,0.0010141747182572
GLDS-7 root defense-regulatory,AT1G19210,ERF017,3.53525803361916,0.0010794235286738
GLDS-7 root defense-regulatory,AT1G13260,RAV1,1.358179079224,0.0010794235286738
GLDS-7 root defense-regulatory,AT1G19180,JAZ1,1.19136677624816,0.0010794235286738
GLDS-7 root defense-regulatory,AT2G44840,ERF13,2.33305537217844,0.0010794235286738
GLDS-7 root defense-regulatory,AT1G28370,ERF11,1.34708257903935,0.0012840932303324
GLDS-7 root defense-regulatory,AT5G47220,ERF2,1.66535421889918,0.0014823703783444
GLDS-7 root defense-regulatory,AT3G45640,MPK3,0.853259398440262,0.0015081015208618
GLDS-7 root defense-regulatory,AT1G80840,WRKY40,2.63171750775711,0.0015081015208618
GLDS-7 root defense-regulatory,AT4G23810,WRKY53,1.38880651042825,0.0015128107776823
GLDS-7 root defense-regulatory,AT5G27420,ATL31/CNI1,1.50926205083973,0.0010794235286738
NASA cross-study core,AT1G74310,HSP101,0.345869874297414,0.259351896052174
NASA cross-study core,AT1G58340,ABS4,0.544380190984668,0.10078517346238
NASA cross-study core,AT5G52310,COR78,0.342906130269332,0.218770440344202
NASA cross-study core,AT4G11290,PRX39,-0.156604439623288,0.841944956330992
NASA cross-study core,AT5G09220,AAP2,0.160842386667205,0.710301156431054
NASA cross-study core,AT1G73480,MAGL4,-0.375700305042967,0.321840269401664
