tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
root,up,GO:0010200,response to chitin,211,121,21,6.5068366379044835e-21,"AT1G27730,AT1G32640,AT1G80840,AT2G35930,AT3G23250,AT3G45640,AT3G46620,AT3G49530,AT3G50060,AT3G55980,AT3G56400,AT4G18880,AT4G31800,AT4G34410,AT5G04340,AT5G27420,AT5G47220,AT5G49520,AT5G59820,AT5G64660,AT5G66070",1.3208878374946101e-18
root,up,GO:0009611,response to wounding,211,180,20,4.86362804186287e-16,"AT1G17380,AT1G19180,AT1G27730,AT1G30135,AT1G32640,AT1G61340,AT1G72920,AT1G73500,AT1G74930,AT1G76650,AT1G80840,AT2G30020,AT3G44260,AT3G45640,AT3G56700,AT3G61190,AT4G11280,AT5G06320,AT5G42650,AT5G59820",4.936582462490813e-14
shoot,up,GO:2000762,regulation of phenylpropanoid metabolic process,58,7,5,1.955606328778223e-12,"AT1G15670,AT1G80440,AT2G44130,AT3G59940,AT4G38620",1.3884804934325382e-10
root,up,GO:0009751,response to salicylic acid,211,141,15,4.733975740108531e-12,"AT1G21910,AT1G28480,AT1G49010,AT1G61340,AT1G80840,AT2G16720,AT2G40000,AT2G40750,AT2G47190,AT3G50060,AT3G56400,AT3G61190,AT4G31800,AT4G34990,AT5G06320",3.203323584140106e-10
root,up,GO:0009753,response to jasmonic acid,211,147,11,1.418087795195418e-07,"AT1G17380,AT1G19180,AT1G21910,AT1G32640,AT1G49010,AT1G61340,AT3G23250,AT3G56400,AT4G11280,AT4G34990,AT5G42650",7.196795560616747e-06
root,up,GO:0009873,ethylene-activated signaling pathway,211,155,11,2.428956371579158e-07,"AT1G13260,AT1G21910,AT1G22810,AT1G33760,AT1G44830,AT1G73500,AT1G74930,AT1G77640,AT4G34410,AT5G47220,AT5G61600",9.213166993413653e-06
root,up,GO:0002237,response to molecule of bacterial origin,211,16,5,2.723103544851326e-07,"AT1G80840,AT3G50930,AT4G31800,AT5G24590,AT5G26920",9.213166993413653e-06
root,up,GO:0031347,regulation of defense response,211,56,7,8.830676515559813e-07,"AT1G17380,AT1G19180,AT1G30135,AT1G80840,AT2G40750,AT3G56400,AT4G31800",2.560896189512346e-05
root,up,GO:0045893,"positive regulation of transcription, DNA-templated",211,181,11,1.1418653223544702e-06,"AT1G21910,AT1G32640,AT1G73500,AT2G42380,AT2G47190,AT4G18880,AT4G25490,AT5G05410,AT5G47220,AT5G49520,AT5G61600",2.897483255474468e-05
root,up,GO:0001944,vasculature development,211,23,5,1.988927710114777e-06,"AT1G74930,AT4G11280,AT4G34410,AT5G47220,AT5G61600",4.4861369461477745e-05
