go_id,term,genes_in_score,plate2_effect,plate4_effect,plate6_effect,positive_plates,stable_all_plates,mean_effect
GO:0001944,vasculature development,23,0.3723977913043468,0.8447779260869552,0.5877391673913035,3,True,0.6016382949275352
GO:0010200,response to chitin,121,0.3791834785123971,0.6078457491735545,0.5978668012396682,3,True,0.5282986763085399
GO:0002237,response to molecule of bacterial origin,16,0.3762747125000008,0.5022077906249995,0.43873584062500015,3,True,0.43907278125000015
GO:0009611,response to wounding,180,0.24103204055555683,0.24429165666666552,0.3336038905555565,3,True,0.27297586259259293
GO:0031347,regulation of defense response,56,0.18884617142857163,0.23612969642857173,0.27478114107142826,3,True,0.23325233630952388
GO:0009873,ethylene-activated signaling pathway,155,0.15113832193548227,0.26137081548387187,0.2105805322580636,3,True,0.20769655655913924
GO:0009751,response to salicylic acid,141,0.23186364326241105,0.14863463617021289,0.13956785283687978,3,True,0.1733553774231679
GO:0009753,response to jasmonic acid,147,0.18451245714285758,0.13637596734693958,0.15802624693877654,3,True,0.15963822380952455
GO:0009617,response to bacterium,96,0.10835315208333363,0.16077896145833392,0.1395559510416664,3,True,0.13622935486111132
GO:0045893,"positive regulation of transcription, DNA-templated",181,0.1532402425414361,0.1243197276243091,0.1129336765193365,3,True,0.13016454889502724
GO:0050832,defense response to fungus,199,0.15890898994974734,0.10136161130653232,0.06443334723618133,3,True,0.108234649497487
GO:0009409,response to cold,291,0.06397382474226809,0.13062988230240613,0.06989459896907135,3,True,0.08816610200458186
