go_id,term,selected_genes,term_size,overlap,p,genes,fdr,confirmed
GO:0010200,response to chitin,541,121,55,1.2821908696433049e-56,"AT1G20823,AT1G27730,AT1G32640,AT1G51700,AT1G66160,AT1G80840,AT2G24570,AT2G34600,AT2G35930,AT2G37430,AT2G38470,AT2G40140,AT2G44840,AT2G46400,AT3G05200,AT3G11840,AT3G15210,AT3G16720,AT3G19580,AT3G23250,AT3G28210,AT3G45640,AT3G46600,AT3G46620,AT3G49530,AT3G50060,AT3G52450,AT3G52800,AT3G55980,AT3G56400,AT4G01250,AT4G17230,AT4G17490,AT4G17500,AT4G18880,AT4G23810,AT4G31800,AT4G34410,AT4G35480,AT4G37260,AT4G37610,AT5G03680,AT5G04340,AT5G10380,AT5G27420,AT5G47220,AT5G47230,AT5G49520,AT5G51190,AT5G59550,AT5G59820,AT5G62020,AT5G64660,AT5G66070,AT5G67300",1.538629043571966e-55,True
GO:0009611,response to wounding,541,180,38,4.403852138463881e-25,"AT1G01720,AT1G17380,AT1G17420,AT1G17750,AT1G19180,AT1G27730,AT1G30135,AT1G32640,AT1G32920,AT1G61340,AT1G72450,AT1G72520,AT1G72920,AT1G73080,AT1G73500,AT1G74930,AT1G76650,AT1G80840,AT2G26690,AT2G27690,AT2G30020,AT2G34600,AT2G46510,AT3G17800,AT3G24550,AT3G25250,AT3G44260,AT3G45640,AT3G48520,AT3G61190,AT4G11280,AT4G13280,AT5G05730,AT5G06320,AT5G20230,AT5G42650,AT5G59820,AT5G64900",2.6423112830783286e-24,True
GO:0009873,ethylene-activated signaling pathway,541,155,24,3.7741961398868544e-13,"AT1G13260,AT1G19210,AT1G21910,AT1G25560,AT1G28370,AT1G33760,AT1G44830,AT1G71450,AT1G73500,AT1G74930,AT1G77640,AT2G44840,AT3G15210,AT3G24500,AT3G51550,AT4G17490,AT4G17500,AT4G32800,AT4G34410,AT5G47220,AT5G47230,AT5G51190,AT5G52020,AT5G61600",1.5096784559547418e-12,True
GO:0009753,response to jasmonic acid,541,147,22,7.326787998321884e-12,"AT1G17380,AT1G17420,AT1G17750,AT1G18570,AT1G19180,AT1G21910,AT1G32640,AT1G61340,AT1G72450,AT1G73080,AT1G74430,AT2G26690,AT2G34600,AT3G23250,AT3G56400,AT4G11280,AT4G34990,AT4G37260,AT4G38620,AT5G42650,AT5G64900,AT5G67300",2.198036399496565e-11,True
GO:0009751,response to salicylic acid,541,141,21,2.421143054030584e-11,"AT1G18570,AT1G21910,AT1G28480,AT1G61340,AT1G74430,AT1G80840,AT2G16720,AT2G40000,AT2G40750,AT2G47190,AT3G50060,AT3G56400,AT3G61190,AT4G23810,AT4G31800,AT4G34990,AT4G37260,AT4G37610,AT4G38620,AT5G06320,AT5G67300",5.8107433296734015e-11,True
GO:0045893,"positive regulation of transcription, DNA-templated",541,181,20,1.5009298127114037e-08,"AT1G21910,AT1G32640,AT1G33280,AT1G73500,AT2G30040,AT2G47190,AT3G11020,AT3G24500,AT3G26744,AT3G61890,AT4G17500,AT4G18880,AT4G23810,AT4G25490,AT5G05410,AT5G47220,AT5G47230,AT5G49450,AT5G49520,AT5G61600",3.0018596254228074e-08,True
GO:0001944,vasculature development,541,23,8,3.6696924184817735e-08,"AT1G28370,AT1G74930,AT4G11280,AT4G17490,AT4G17500,AT4G34410,AT5G47220,AT5G61600",6.290901288825897e-08,True
GO:0050832,defense response to fungus,541,199,19,3.5083053918934804e-07,"AT1G15010,AT1G52410,AT1G80840,AT2G30020,AT2G38470,AT2G40140,AT3G11820,AT3G51550,AT3G52400,AT3G56400,AT4G30440,AT4G31800,AT4G34410,AT5G09440,AT5G20230,AT5G42650,AT5G52020,AT5G61600,AT5G67300",5.26245808784022e-07,True
GO:0009617,response to bacterium,541,96,13,4.853836582685907e-07,"AT1G18570,AT1G61340,AT1G72520,AT1G73800,AT3G12580,AT3G45640,AT3G50930,AT5G02490,AT5G05730,AT5G06320,AT5G10380,AT5G49450,AT5G49520",6.471782110247876e-07,True
GO:0031347,regulation of defense response,541,56,10,7.558867491214574e-07,"AT1G17380,AT1G19180,AT1G30135,AT1G72450,AT1G80840,AT2G34600,AT2G40750,AT3G56400,AT4G23810,AT4G31800",9.070640989457489e-07,True
GO:0009409,response to cold,541,291,20,2.6738727994788344e-05,"AT1G20620,AT1G27730,AT2G38470,AT2G40140,AT3G08720,AT3G17390,AT3G26744,AT3G45640,AT3G61190,AT4G17090,AT4G25470,AT4G25490,AT4G34150,AT4G35985,AT4G37610,AT5G37770,AT5G47230,AT5G57560,AT5G58670,AT5G59820",2.916952144886001e-05,True
GO:0002237,response to molecule of bacterial origin,541,16,4,0.00047072249871330196,"AT1G80840,AT3G50930,AT4G31800,AT5G24590",0.00047072249871330196,True
